aaa,9764715,8412,182,270
aab,9972006,9705,70,136
aac,9623289,9693,255,437
aad,9939709,9097,35,70
aae,9849089,8185,112,213
aaf,9968794,7978,75,215
aag,9896215,8299,5,8
aba,9979236,9855,93,131
abb,9440849,8860,6,25
abc,9941903,9834,383,703
abd,9889637,9212,75,140
abe,9867449,9166,59,98
abf,9806740,7186,198,291
abg,9943783,9308,11,36
aca,9890969,7802,148,266
acb,9774759,10037,390,619
acc,9839418,9063,127,301
acd,9975353,8891,161,269
ace,9906392,7713,18,47
acf,9706038,10268,199,320
acg,9914020,8785,7,19
ada,9832527,10636,14,39
adb,9892514,8945,85,148
adc,9709063,8814,68,109
add,9865952,7861,40,104
ade,9929201,9257,115,243
adf,9770485,8660,127,282
adg,9895391,9033,265,403
aea,9892743,10054,16,44
aeb,9982619,9075,158,277
aec,9785882,9946,12,25
aed,9997983,8196,56,193
aee,9584597,8343,69,111
aef,9987463,9221,5,5
aeg,9928571,9239,289,482
afa,9851688,8931,104,170
afb,9594339,7418,94,172
afc,9783469,11014,66,142
afd,9662044,6397,31,106
afe,9515326,10285,20,38
aff,9951588,9107,49,92
afg,9778946,8150,153,312
aga,9817563,8901,11,30
agb,9994091,8443,68,176
agc,9948555,9210,63,177
agd,9978844,7920,247,393
age,9882883,9028,194,268
agf,9977368,10084,382,696
agg,9841641,9318,14,43
baa,9852613,7249,7,16
bab,9725336,10486,32,92
bac,9975288,7341,131,184
bad,9939839,6898,324,534
bae,9911679,7981,73,180
baf,9770755,6544,49,134
bag,9987631,8313,91,144
bba,9950166,9992,229,357
bbb,9778674,8424,283,389
bbc,9998475,8685,43,108
bbd,9654978,10038,9,27
bbe,9676920,8484,30,88
bbf,9958640,7962,268,458
bbg,9762969,7747,332,483
bca,9914899,8983,70,112
bcb,9923953,9001,149,257
bcc,9658843,8134,19,50
bcd,9912530,8634,13,36
bce,9948501,7799,44,98
bcf,9456506,10190,49,212
bcg,9962585,10958,290,540
bda,9971693,9465,222,333
bdb,9819429,9361,17,47
bdc,9965370,9970,76,184
bdd,9959445,7229,47,125
bde,9961505,9899,166,274
bdf,9940545,8748,209,322
bdg,9960877,9937,222,429
bea,9928188,8814,175,352
